ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates
PAJN,medium_airport,Juneau International Airport,21.0,,US,US-AK,Juneau,PAJN,JNU,JNU,"-134.5760040283203, 58.35499954223633"
PAKN,medium_airport,King Salmon Airport,73.0,,US,US-AK,King Salmon,PAKN,AKN,AKN,"-156.6490021, 58.67679977"
PAKP,medium_airport,Anaktuvuk Pass Airport,2102.0,,US,US-AK,Anaktuvuk Pass,PAKP,AKP,AKP,"-151.7429962, 68.13359833"
PAKT,medium_airport,Ketchikan International Airport,89.0,,US,US-AK,Ketchikan,PAKT,KTN,KTN,"-131.7140045, 55.35559845"
PAKW,medium_airport,Klawock Airport,80.0,,US,US-AK,Klawock,PAKW,KLW,AKW,"-133.076004028, 55.579200744599994"
PALU,medium_airport,Cape Lisburne LRRS Airport,16.0,,US,US-AK,Cape Lisburne,PALU,LUR,LUR,"-166.1100006, 68.87509918"
PAMC,medium_airport,McGrath Airport,341.0,,US,US-AK,McGrath,PAMC,MCG,MCG,"-155.6060028, 62.95289993"
PAMR,medium_airport,Merrill Field,137.0,,US,US-AK,Anchorage,PAMR,MRI,MRI,"-149.843994140625, 61.2135009765625"
PAMY,medium_airport,Mekoryuk Airport,48.0,,US,US-AK,Mekoryuk,PAMY,MYU,MYU,"-166.27099609375, 60.37139892578125"
PANC,large_airport,Ted Stevens Anchorage International Airport,152.0,,US,US-AK,Anchorage,PANC,ANC,ANC,"-149.99600219726562, 61.174400329589844"
PANI,medium_airport,Aniak Airport,88.0,,US,US-AK,Aniak,PANI,ANI,ANI,"-159.54299926757812, 61.581600189208984"
PANN,medium_airport,Nenana Municipal Airport,362.0,,US,US-AK,Nenana,PANN,ENN,ENN,"-149.07400512695312, 64.54730224609375"
PANT,medium_airport,Annette Island Airport,119.0,,US,US-AK,Annette,PANT,ANN,ANN,"-131.57200622558594, 55.04240036010742"
PANV,medium_airport,Anvik Airport,291.0,,US,US-AK,Anvik,PANV,ANV,ANV,"-160.190994, 62.646702"
PAOM,medium_airport,Nome Airport,37.0,,US,US-AK,Nome,PAOM,OME,OME,"-165.44500732421875, 64.51219940185547"
PAOR,medium_airport,Northway Airport,1715.0,,US,US-AK,Northway,PAOR,ORT,ORT,"-141.9290009, 62.9612999"
PAOT,medium_airport,Ralph Wien Memorial Airport,14.0,,US,US-AK,Kotzebue,PAOT,OTZ,OTZ,"-162.598999, 66.88469696"
PAPB,medium_airport,St George Airport,125.0,,US,US-AK,St George,PAPB,STG,PBV,"-169.662002563, 56.578300476100004"
PAPC,medium_airport,Port Clarence Coast Guard Station,10.0,,US,US-AK,Port Clarence,PAPC,KPC,KPC,"-166.85899353, 65.2537002563"
PAPG,medium_airport,Petersburg James A Johnson Airport,111.0,,US,US-AK,Petersburg,PAPG,PSG,PSG,"-132.9450073, 56.80170059"
PAPH,medium_airport,Port Heiden Airport,95.0,,US,US-AK,Port Heiden,PAPH,PTH,PTH,"-158.63299560546875, 56.95909881591797"
PAPM,medium_airport,Platinum Airport,15.0,,US,US-AK,Platinum,PAPM,PTU,PTU,"-161.82000732421875, 59.01139831542969"
PAQT,medium_airport,Nuiqsut Airport,38.0,,US,US-AK,Nuiqsut,PAQT,NUI,AQT,"-151.005996704, 70.2099990845"
PARC,medium_airport,Arctic Village Airport,2092.0,,US,US-AK,Arctic Village,PARC,ARC,ARC,"-145.578995, 68.1147"
PARY,medium_airport,Ruby Airport,658.0,,US,US-AK,Ruby,PARY,RBY,RBY,"-155.4700012, 64.72720337"
PASA,medium_airport,Savoonga Airport,53.0,,US,US-AK,Savoonga,PASA,SVA,SVA,"-170.4929962158203, 63.6864013671875"
PASC,medium_airport,Deadhorse Airport,65.0,,US,US-AK,Deadhorse,PASC,SCC,SCC,"-148.4649963, 70.19470215"
PASD,medium_airport,Sand Point Airport,21.0,,US,US-AK,Sand Point,PASD,SDP,SDP,"-160.5229949951172, 55.314998626708984"
PASH,medium_airport,Shishmaref Airport,12.0,,US,US-AK,Shishmaref,PASH,SHH,SHH,"-166.089112, 66.249604"
PASI,medium_airport,Sitka Rocky Gutierrez Airport,21.0,,US,US-AK,Sitka,PASI,SIT,SIT,"-135.36199951171875, 57.04710006713867"
PASK,medium_airport,Selawik Airport,17.0,,US,US-AK,Selawik,PASK,WLK,WLK,"-159.9859924, 66.60009766"
PASM,medium_airport,St Mary's Airport,312.0,,US,US-AK,St Mary's,PASM,KSM,KSM,"-163.302002, 62.0605011"
PASN,medium_airport,St Paul Island Airport,63.0,,US,US-AK,St Paul Island,PASN,SNP,SNP,"-170.22000122070312, 57.167301177978516"
PASV,medium_airport,Sparrevohn LRRS Airport,1585.0,,US,US-AK,Sparrevohn,PASV,SVW,SVW,"-155.5740051, 61.09740067"
PASX,medium_airport,Soldotna Airport,113.0,,US,US-AK,Soldotna,PASX,SXQ,SXQ,"-151.03399658203125, 60.47570037841797"
PASY,medium_airport,Eareckson Air Station,95.0,,US,US-AK,Shemya,PASY,SYA,SYA,"174.1139984, 52.71229935"
PATG,medium_airport,Togiak Airport,21.0,,US,US-AK,Togiak Village,PATG,TOG,TOG,"-160.39700317382812, 59.052799224853516"
PATK,medium_airport,Talkeetna Airport,358.0,,US,US-AK,Talkeetna,PATK,TKA,TKA,"-150.09399414062, 62.320499420166"
PATL,medium_airport,Tatalina LRRS Airport,964.0,,US,US-AK,Takotna,PATL,TLJ,TLJ,"-155.977005005, 62.894401550299996"
PATQ,medium_airport,Atqasuk Edward Burnell Sr Memorial Airport,96.0,,US,US-AK,Atqasuk,PATQ,ATK,ATK,"-157.436013, 70.46704"
PAVD,medium_airport,Valdez Pioneer Field,121.0,,US,US-AK,Valdez,PAVD,VDZ,VDZ,"-146.2480011, 61.13389969"
PAVL,medium_airport,Kivalina Airport,13.0,,US,US-AK,Kivalina,PAVL,KVL,KVL,"-164.56300354003906, 67.73619842529297"
PAWD,medium_airport,Seward Airport,22.0,,US,US-AK,Seward,PAWD,SWD,SWD,"-149.41900634765625, 60.12689971923828"
PAWG,medium_airport,Wrangell Airport,49.0,,US,US-AK,Wrangell,PAWG,WRG,WRG,"-132.3699951, 56.48429871"
PAWI,medium_airport,Wainwright Airport,41.0,,US,US-AK,Wainwright,PAWI,AIN,AWI,"-159.994995117, 70.6380004883"
PAWN,medium_airport,Noatak Airport,88.0,,US,US-AK,Noatak,PAWN,WTK,WTK,"-162.97500610351562, 67.56610107421875"
PAWS,medium_airport,Wasilla Airport,354.0,,US,US-AK,Wasilla,PAWS,WWA,IYS,"-149.539993286, 61.5717010498"
PAYA,medium_airport,Yakutat Airport,33.0,,US,US-AK,Yakutat,PAYA,YAK,YAK,"-139.660003662, 59.5032997131"
PFYU,medium_airport,Fort Yukon Airport,433.0,,US,US-AK,Fort Yukon,PFYU,FYU,FYU,"-145.25, 66.57150268554688"
PHBK,medium_airport,Barking Sands Airport,23.0,,US,US-HI,Kekaha,PHBK,BKH,BKH,"-159.785003662, 22.022800445599998"
PHDH,medium_airport,Dillingham Airfield,14.0,,US,US-HI,Mokuleia,PHDH,HDH,HDH,"-158.197006226, 21.5795001984"
PHHI,medium_airport,Wheeler Army Airfield,837.0,,US,US-HI,Wahiawa,PHHI,HHI,HHI,"-158.0399933, 21.48349953"
PHHN,medium_airport,Hana Airport,78.0,,US,US-HI,Hana,PHHN,HNM,HNM,"-156.01400756835938, 20.79560089111328"
PHJH,medium_airport,Kapalua Airport,256.0,,US,US-HI,Lahaina,PHJH,JHM,JHM,"-156.67300415039062, 20.962900161743164"
PHJR,medium_airport,Kalaeloa Airport,30.0,,US,US-HI,Kapolei,PHJR,JRF,JRF,"-158.070009, 21.3074"
PHKO,medium_airport,Ellison Onizuka Kona International At Keahole Airport,47.0,,US,US-HI,Kailua/Kona,PHKO,KOA,KOA,"-156.045603, 19.738783"
PHLI,medium_airport,Lihue Airport,153.0,,US,US-HI,Lihue,PHLI,LIH,LIH,"-159.33900451660156, 21.97599983215332"
PHMK,medium_airport,Molokai Airport,454.0,,US,US-HI,Kaunakakai,PHMK,MKK,MKK,"-157.0959930419922, 21.15290069580078"
PHMU,medium_airport,Waimea Kohala Airport,2671.0,,US,US-HI,Kamuela,PHMU,MUE,MUE,"-155.66799926757812, 20.001300811767578"
PHNG,medium_airport,Kaneohe Bay MCAS (Marion E. Carl Field) Airport,24.0,,US,US-HI,Kaneohe,PHNG,NGF,NGF,"-157.768005371, 21.4505004883"
PHNL,large_airport,Daniel K Inouye International Airport,13.0,,US,US-HI,Honolulu,PHNL,HNL,HNL,"-157.924228, 21.32062"
PHNY,medium_airport,Lanai Airport,1308.0,,US,US-HI,Lanai City,PHNY,LNY,LNY,"-156.9510040283203, 20.785600662231445"
PHOG,medium_airport,Kahului Airport,54.0,,US,US-HI,Kahului,PHOG,OGG,OGG,"-156.429993, 20.8986"
PHSF,medium_airport,Bradshaw Army Airfield,6190.0,,US,US-HI,Camp Pohakuloa,PHSF,BSF,BSF,"-155.554000854, 19.760099411"
PHTO,medium_airport,Hilo International Airport,38.0,,US,US-HI,Hilo,PHTO,ITO,ITO,"-155.04800415039062, 19.721399307250977"
PHUP,medium_airport,Upolu Airport,96.0,,US,US-HI,Hawi,PHUP,UPP,UPP,"-155.86000061035156, 20.265300750732422"
PPIZ,medium_airport,Point Lay LRRS Airport,22.0,,US,US-AK,Point Lay,PPIZ,PIZ,PIZ,"-163.0050049, 69.73290253"
US-0086,medium_airport,Jim's Private Airport,890.0,,US,US-GA,Conyers,,,,"-84.14440155, 33.59790039"
US-0254,medium_airport,Yuma Auxiliary Army Airfield 2,,,US,US-AZ,Yuma,,,,"-114.511786, 32.547501"
US-0571,medium_airport,Williston Basin International Airport,2344.0,,US,US-ND,Williston,KXWA,XWA,XWA,"-103.748797, 48.258387"
XXZ,medium_airport,Modi,29977.0,,US,US-CA,California,EGLA,XXZ,NY12,"179.999894, 89.999845"
